,block,site,year,plot,experiment,treatment,date,format,gcc_mean,doy,dom,month,nitrogen,deluge.date.1,deluge.date.2
362,b,sgs,2021,11,change,n,7/30/2021,JPG,0.339867827,211,30,7,7.5,7/27/2021,7/28/2021
363,b,sgs,2021,11,change,n,8/4/2021,JPG,0.337845888,216,4,8,7.5,7/27/2021,7/28/2021
364,b,sgs,2021,11,change,n,8/17/2021,JPG,0.335157597,229,17,8,7.5,7/27/2021,7/28/2021
365,b,sgs,2021,14,change,n,7/28/2021,JPG,0.340732395,209,28,7,30,7/27/2021,7/28/2021
366,b,sgs,2021,14,change,n,7/30/2021,JPG,0.34243568,211,30,7,30,7/27/2021,7/28/2021
367,b,sgs,2021,14,change,n,8/4/2021,JPG,0.341746508,216,4,8,30,7/27/2021,7/28/2021
370,b,sgs,2021,12,change,n,8/30/2021,JPG,0.33470485,242,30,8,20,7/27/2021,7/28/2021
372,b,sgs,2021,14,change,n,8/17/2021,JPG,0.338103783,229,17,8,30,7/27/2021,7/28/2021
374,b,sgs,2021,16,change,n,8/17/2021,JPG,0.342335657,229,17,8,15,7/27/2021,7/28/2021
375,b,sgs,2021,12,change,n,7/30/2021,JPG,0.352599013,211,30,7,20,7/27/2021,7/28/2021
381,b,sgs,2021,16,change,n,8/30/2021,JPG,0.339612022,242,30,8,15,7/27/2021,7/28/2021
668,c,sgs,2021,17,change,n,8/4/2021,JPG,0.340377785,216,4,8,5,8/4/2021,8/5/2021
669,c,sgs,2021,17,change,n,7/30/2021,JPG,0.342903651,211,30,7,5,8/4/2021,8/5/2021
671,c,sgs,2021,17,change,n,8/17/2021,JPG,0.339577485,229,17,8,5,8/4/2021,8/5/2021
672,c,sgs,2021,17,change,n,8/30/2021,JPG,0.338281976,242,30,8,5,8/4/2021,8/5/2021
675,c,sgs,2021,18,change,n,8/30/2021,JPG,0.338258427,242,30,8,20,8/4/2021,8/5/2021
676,c,sgs,2021,23,change,n,7/28/2021,JPG,0.347402317,209,28,7,7.5,8/4/2021,8/5/2021
677,c,sgs,2021,17,change,n,7/28/2021,JPG,0.343381797,209,28,7,5,8/4/2021,8/5/2021
678,c,sgs,2021,24,change,n,7/30/2021,JPG,0.364082759,211,30,7,15,8/4/2021,8/5/2021
679,c,sgs,2021,24,change,n,8/4/2021,JPG,0.341197203,216,4,8,15,8/4/2021,8/5/2021
681,c,sgs,2021,24,change,n,8/30/2021,JPG,0.343302559,242,30,8,15,8/4/2021,8/5/2021
689,c,sgs,2021,24,change,n,8/17/2021,JPG,0.346435725,229,17,8,15,8/4/2021,8/5/2021
691,c,sgs,2021,23,change,n,8/4/2021,JPG,0.344486318,216,4,8,7.5,8/4/2021,8/5/2021
694,c,sgs,2021,20,change,n,7/28/2021,JPG,0.343065171,209,28,7,30,8/4/2021,8/5/2021
695,c,sgs,2021,20,change,n,7/30/2021,JPG,0.344307279,211,30,7,30,8/4/2021,8/5/2021
698,c,sgs,2021,20,change,n,8/30/2021,JPG,0.332224412,242,30,8,30,8/4/2021,8/5/2021
700,c,sgs,2021,20,change,n,8/4/2021,JPG,0.342137454,216,4,8,30,8/4/2021,8/5/2021
701,c,sgs,2021,18,change,n,8/17/2021,JPG,0.340208414,229,17,8,20,8/4/2021,8/5/2021
702,c,sgs,2021,21,change,n,7/30/2021,JPG,0.340510949,211,30,7,0,8/4/2021,8/5/2021
705,c,sgs,2021,20,change,n,8/17/2021,JPG,0.336387842,229,17,8,30,8/4/2021,8/5/2021
706,c,sgs,2021,21,change,n,8/4/2021,JPG,0.338967128,216,4,8,0,8/4/2021,8/5/2021
707,c,sgs,2021,21,change,n,8/17/2021,JPG,0.337974332,229,17,8,0,8/4/2021,8/5/2021
708,c,sgs,2021,21,change,n,8/30/2021,JPG,0.335889059,242,30,8,0,8/4/2021,8/5/2021
713,c,sgs,2021,18,change,n,8/4/2021,JPG,0.3454102,216,4,8,20,8/4/2021,8/5/2021
714,c,sgs,2021,22,change,n,8/30/2021,JPG,0.336155546,242,30,8,2.5,8/4/2021,8/5/2021
717,c,sgs,2021,19,change,n,7/28/2021,JPG,0.342561309,209,28,7,10,8/4/2021,8/5/2021
719,c,sgs,2021,23,change,n,7/30/2021,JPG,0.344915887,211,30,7,7.5,8/4/2021,8/5/2021
720,c,sgs,2021,19,change,n,8/17/2021,JPG,0.336763956,229,17,8,10,8/4/2021,8/5/2021
721,c,sgs,2021,19,change,n,8/30/2021,JPG,0.335243573,242,30,8,10,8/4/2021,8/5/2021
722,c,sgs,2021,19,change,n,7/30/2021,JPG,0.343238187,211,30,7,10,8/4/2021,8/5/2021
724,c,sgs,2021,22,change,n,7/30/2021,JPG,0.342261324,211,30,7,2.5,8/4/2021,8/5/2021
725,c,sgs,2021,22,change,n,8/4/2021,JPG,0.341808081,216,4,8,2.5,8/4/2021,8/5/2021
729,c,sgs,2021,21,change,n,7/28/2021,JPG,0.334502036,209,28,7,0,8/4/2021,8/5/2021
730,c,sgs,2021,24,change,n,7/28/2021,JPG,0.365973532,209,28,7,15,8/4/2021,8/5/2021
733,c,sgs,2021,22,change,n,7/28/2021,JPG,0.341744735,209,28,7,2.5,8/4/2021,8/5/2021
734,c,sgs,2021,18,change,n,7/28/2021,JPG,0.345162889,209,28,7,20,8/4/2021,8/5/2021
735,c,sgs,2021,18,change,n,7/30/2021,JPG,0.346945026,211,30,7,20,8/4/2021,8/5/2021
736,c,sgs,2021,22,change,n,8/17/2021,JPG,0.338344746,229,17,8,2.5,8/4/2021,8/5/2021
738,c,sgs,2021,23,change,n,8/30/2021,JPG,0.338060694,242,30,8,7.5,8/4/2021,8/5/2021
742,c,sgs,2021,19,change,n,8/4/2021,JPG,0.345446334,216,4,8,10,8/4/2021,8/5/2021
746,c,sgs,2021,23,change,n,8/17/2021,JPG,0.338690548,229,17,8,7.5,8/4/2021,8/5/2021
1057,d,sgs,2021,31,change,n,7/30/2021,JPG,0.340623552,211,30,7,10,8/3/2021,8/4/2021
1061,d,sgs,2021,25,change,n,8/30/2021,JPG,0.339590856,242,30,8,2.5,8/3/2021,8/4/2021
1062,d,sgs,2021,27,change,n,8/30/2021,JPG,0.334546073,242,30,8,15,8/3/2021,8/4/2021
1063,d,sgs,2021,25,change,n,8/4/2021,JPG,0.341990365,216,4,8,2.5,8/3/2021,8/4/2021
1065,d,sgs,2021,27,change,n,7/28/2021,JPG,0.340755022,209,28,7,15,8/3/2021,8/4/2021
1066,d,sgs,2021,27,change,n,8/18/2021,JPG,0.335523027,230,18,8,15,8/3/2021,8/4/2021
1068,d,sgs,2021,31,change,n,7/28/2021,JPG,0.338947743,209,28,7,10,8/3/2021,8/4/2021
1072,d,sgs,2021,28,change,n,7/28/2021,JPG,0.341892287,209,28,7,7.5,8/3/2021,8/4/2021
1077,d,sgs,2021,31,change,n,8/4/2021,JPG,0.340161192,216,4,8,10,8/3/2021,8/4/2021
1078,d,sgs,2021,26,change,n,7/28/2021,JPG,0.342927,209,28,7,5,8/3/2021,8/4/2021
1079,d,sgs,2021,25,change,n,7/30/2021,JPG,0.343780747,211,30,7,2.5,8/3/2021,8/4/2021
1080,d,sgs,2021,30,change,n,7/30/2021,JPG,0.343042095,211,30,7,0,8/3/2021,8/4/2021
1082,d,sgs,2021,26,change,n,8/30/2021,JPG,0.336946121,242,30,8,5,8/3/2021,8/4/2021
1085,d,sgs,2021,25,change,n,8/18/2021,JPG,0.334199371,230,18,8,2.5,8/3/2021,8/4/2021
1086,d,sgs,2021,28,change,n,7/30/2021,JPG,0.341677009,211,30,7,7.5,8/3/2021,8/4/2021
1087,d,sgs,2021,28,change,n,8/4/2021,JPG,0.339780194,216,4,8,7.5,8/3/2021,8/4/2021
1088,d,sgs,2021,28,change,n,8/18/2021,JPG,0.336728138,230,18,8,7.5,8/3/2021,8/4/2021
1091,d,sgs,2021,32,change,n,8/30/2021,JPG,0.335541523,242,30,8,20,8/3/2021,8/4/2021
1092,d,sgs,2021,32,change,n,7/30/2021,JPG,0.345481614,211,30,7,20,8/3/2021,8/4/2021
1093,d,sgs,2021,25,change,n,7/28/2021,JPG,0.341615123,209,28,7,2.5,8/3/2021,8/4/2021
1094,d,sgs,2021,26,change,n,8/18/2021,JPG,0.336797342,230,18,8,5,8/3/2021,8/4/2021
1097,d,sgs,2021,29,change,n,8/4/2021,JPG,0.336596036,216,4,8,30,8/3/2021,8/4/2021
1098,d,sgs,2021,29,change,n,8/18/2021,JPG,0.336407668,230,18,8,30,8/3/2021,8/4/2021
1099,d,sgs,2021,29,change,n,8/30/2021,JPG,0.335967282,242,30,8,30,8/3/2021,8/4/2021
1102,d,sgs,2021,28,change,n,8/30/2021,JPG,0.335462707,242,30,8,7.5,8/3/2021,8/4/2021
1108,d,sgs,2021,29,change,n,7/28/2021,JPG,0.335828221,209,28,7,30,8/3/2021,8/4/2021
1109,d,sgs,2021,29,change,n,7/30/2021,JPG,0.339294286,211,30,7,30,8/3/2021,8/4/2021
1119,d,sgs,2021,26,change,n,7/30/2021,JPG,0.343023305,211,30,7,5,8/3/2021,8/4/2021
1120,d,sgs,2021,26,change,n,8/4/2021,JPG,0.34059175,216,4,8,5,8/3/2021,8/4/2021
1122,d,sgs,2021,30,change,n,7/28/2021,JPG,0.340481583,209,28,7,0,8/3/2021,8/4/2021
1123,d,sgs,2021,32,change,n,7/28/2021,JPG,0.345340123,209,28,7,20,8/3/2021,8/4/2021
1124,d,sgs,2021,31,change,n,8/18/2021,JPG,0.339445382,230,18,8,10,8/3/2021,8/4/2021
1125,d,sgs,2021,31,change,n,8/30/2021,JPG,0.336583771,242,30,8,10,8/3/2021,8/4/2021
1129,d,sgs,2021,32,change,n,8/4/2021,JPG,0.346161216,216,4,8,20,8/3/2021,8/4/2021
1130,d,sgs,2021,32,change,n,8/18/2021,JPG,0.338181893,230,18,8,20,8/3/2021,8/4/2021
1131,d,sgs,2021,27,change,n,7/30/2021,JPG,0.342183621,211,30,7,15,8/3/2021,8/4/2021
1132,d,sgs,2021,27,change,n,8/4/2021,JPG,0.339961707,216,4,8,15,8/3/2021,8/4/2021
1133,d,sgs,2021,30,change,n,8/4/2021,JPG,0.340004762,216,4,8,0,8/3/2021,8/4/2021
1134,d,sgs,2021,30,change,n,8/18/2021,JPG,0.337850685,230,18,8,0,8/3/2021,8/4/2021
1135,d,sgs,2021,30,change,n,8/30/2021,JPG,0.337118006,242,30,8,0,8/3/2021,8/4/2021
1427,e,sgs,2021,38,change,n,7/30/2021,JPG,0.34283089,211,30,7,15,8/7/2021,8/8/2021
1432,e,sgs,2021,37,change,n,8/30/2021,JPG,0.33616877,242,30,8,2.5,8/7/2021,8/8/2021
1433,e,sgs,2021,35,change,n,7/28/2021,JPG,0.351310526,209,28,7,30,8/7/2021,8/8/2021
1441,e,sgs,2021,37,change,n,8/18/2021,JPG,0.33855571,230,18,8,2.5,8/7/2021,8/8/2021
1442,e,sgs,2021,36,change,n,8/5/2021,JPG,0.338102511,217,5,8,5,8/7/2021,8/8/2021
1443,e,sgs,2021,38,change,n,8/30/2021,JPG,0.336004263,242,30,8,15,8/7/2021,8/8/2021
1445,e,sgs,2021,36,change,n,8/30/2021,JPG,0.335975887,242,30,8,5,8/7/2021,8/8/2021
1450,e,sgs,2021,34,change,n,7/28/2021,JPG,0.338226371,209,28,7,20,8/7/2021,8/8/2021
1452,e,sgs,2021,34,change,n,7/30/2021,JPG,0.342937402,211,30,7,20,8/7/2021,8/8/2021
1454,e,sgs,2021,36,change,n,7/28/2021,JPG,0.339136103,209,28,7,5,8/7/2021,8/8/2021
1455,e,sgs,2021,36,change,n,7/30/2021,JPG,0.341123858,211,30,7,5,8/7/2021,8/8/2021
1456,e,sgs,2021,35,change,n,7/30/2021,JPG,0.349435995,211,30,7,30,8/7/2021,8/8/2021
1457,e,sgs,2021,36,change,n,8/18/2021,JPG,0.338296316,230,18,8,5,8/7/2021,8/8/2021
1458,e,sgs,2021,35,change,n,8/18/2021,JPG,0.344373094,230,18,8,30,8/7/2021,8/8/2021
1459,e,sgs,2021,39,change,n,7/28/2021,JPG,0.34303138,209,28,7,7.5,8/7/2021,8/8/2021
1462,e,sgs,2021,38,change,n,7/28/2021,JPG,0.342040736,209,28,7,15,8/7/2021,8/8/2021
1463,e,sgs,2021,39,change,n,8/30/2021,JPG,0.336342236,242,30,8,7.5,8/7/2021,8/8/2021
1465,e,sgs,2021,35,change,n,8/30/2021,JPG,0.339542651,242,30,8,30,8/7/2021,8/8/2021
1469,e,sgs,2021,37,change,n,8/5/2021,JPG,0.332821245,217,5,8,2.5,8/7/2021,8/8/2021
1470,e,sgs,2021,35,change,n,8/5/2021,JPG,0.346966162,217,5,8,30,8/7/2021,8/8/2021
1471,e,sgs,2021,40,change,n,8/5/2021,JPG,0.338940476,217,5,8,10,8/7/2021,8/8/2021
1472,e,sgs,2021,40,change,n,8/18/2021,JPG,0.33860242,230,18,8,10,8/7/2021,8/8/2021
1480,e,sgs,2021,37,change,n,7/28/2021,JPG,0.339322107,209,28,7,2.5,8/7/2021,8/8/2021
1481,e,sgs,2021,37,change,n,7/30/2021,JPG,0.341036827,211,30,7,2.5,8/7/2021,8/8/2021
1482,e,sgs,2021,40,change,n,7/28/2021,JPG,0.339820902,209,28,7,10,8/7/2021,8/8/2021
1483,e,sgs,2021,40,change,n,7/30/2021,JPG,0.342317741,211,30,7,10,8/7/2021,8/8/2021
1486,e,sgs,2021,40,change,n,8/30/2021,JPG,0.336558346,242,30,8,10,8/7/2021,8/8/2021
1489,e,sgs,2021,39,change,n,8/18/2021,JPG,0.337289198,230,18,8,7.5,8/7/2021,8/8/2021
1492,e,sgs,2021,33,change,n,7/28/2021,JPG,0.337425723,209,28,7,0,8/7/2021,8/8/2021
1493,e,sgs,2021,33,change,n,7/30/2021,JPG,0.339642078,211,30,7,0,8/7/2021,8/8/2021
1494,e,sgs,2021,33,change,n,8/5/2021,JPG,0.33679822,217,5,8,0,8/7/2021,8/8/2021
1495,e,sgs,2021,33,change,n,8/18/2021,JPG,0.336817099,230,18,8,0,8/7/2021,8/8/2021
1496,e,sgs,2021,33,change,n,8/30/2021,JPG,0.335898324,242,30,8,0,8/7/2021,8/8/2021
1500,e,sgs,2021,39,change,n,7/30/2021,JPG,0.342815205,211,30,7,7.5,8/7/2021,8/8/2021
1501,e,sgs,2021,39,change,n,8/5/2021,JPG,0.340508309,217,5,8,7.5,8/7/2021,8/8/2021
1502,e,sgs,2021,34,change,n,8/5/2021,JPG,0.338664019,217,5,8,20,8/7/2021,8/8/2021
1503,e,sgs,2021,34,change,n,8/18/2021,JPG,0.338343976,230,18,8,20,8/7/2021,8/8/2021
1504,e,sgs,2021,34,change,n,8/30/2021,JPG,0.336148528,242,30,8,20,8/7/2021,8/8/2021
1505,e,sgs,2021,38,change,n,8/5/2021,JPG,0.339066428,217,5,8,15,8/7/2021,8/8/2021
1506,e,sgs,2021,38,change,n,8/18/2021,JPG,0.336670615,230,18,8,15,8/7/2021,8/8/2021
1825,f,sgs,2021,48,change,n,7/28/2021,JPG,0.340253058,209,28,7,2.5,8/6/2021,8/7/2021
1826,f,sgs,2021,48,change,n,7/30/2021,JPG,0.341460936,211,30,7,2.5,8/6/2021,8/7/2021
1827,f,sgs,2021,45,change,n,7/28/2021,JPG,0.34127153,209,28,7,0,8/6/2021,8/7/2021
1833,f,sgs,2021,41,change,n,8/18/2021,JPG,0.340019911,230,18,8,20,8/6/2021,8/7/2021
1834,f,sgs,2021,41,change,n,8/30/2021,JPG,0.337745954,242,30,8,20,8/6/2021,8/7/2021
1836,f,sgs,2021,44,change,n,7/30/2021,JPG,0.343254051,211,30,7,10,8/6/2021,8/7/2021
1838,f,sgs,2021,44,change,n,7/28/2021,JPG,0.341048815,209,28,7,10,8/6/2021,8/7/2021
1839,f,sgs,2021,45,change,n,8/18/2021,JPG,0.338589575,230,18,8,0,8/6/2021,8/7/2021
1840,f,sgs,2021,42,change,n,7/28/2021,JPG,0.338802829,209,28,7,30,8/6/2021,8/7/2021
1841,f,sgs,2021,42,change,n,7/30/2021,JPG,0.339391577,211,30,7,30,8/6/2021,8/7/2021
1842,f,sgs,2021,47,change,n,8/4/2021,JPG,0.340673538,216,4,8,15,8/6/2021,8/7/2021
1843,f,sgs,2021,47,change,n,8/18/2021,JPG,0.340813732,230,18,8,15,8/6/2021,8/7/2021
1844,f,sgs,2021,41,change,n,7/28/2021,JPG,0.340368495,209,28,7,20,8/6/2021,8/7/2021
1845,f,sgs,2021,41,change,n,8/4/2021,JPG,0.341024656,216,4,8,20,8/6/2021,8/7/2021
1850,f,sgs,2021,46,change,n,7/30/2021,JPG,0.341100728,211,30,7,7.5,8/6/2021,8/7/2021
1851,f,sgs,2021,46,change,n,8/4/2021,JPG,0.340539539,216,4,8,7.5,8/6/2021,8/7/2021
1852,f,sgs,2021,46,change,n,8/18/2021,JPG,0.337886459,230,18,8,7.5,8/6/2021,8/7/2021
1853,f,sgs,2021,43,change,n,7/28/2021,JPG,0.342561661,209,28,7,5,8/6/2021,8/7/2021
1855,f,sgs,2021,45,change,n,7/30/2021,JPG,0.343649967,211,30,7,0,8/6/2021,8/7/2021
1856,f,sgs,2021,42,change,n,8/4/2021,JPG,0.339442858,216,4,8,30,8/6/2021,8/7/2021
1858,f,sgs,2021,41,change,n,7/30/2021,JPG,0.340490915,211,30,7,20,8/6/2021,8/7/2021
1859,f,sgs,2021,43,change,n,8/4/2021,JPG,0.340332909,216,4,8,5,8/6/2021,8/7/2021
1860,f,sgs,2021,44,change,n,8/18/2021,JPG,0.339132145,230,18,8,10,8/6/2021,8/7/2021
1865,f,sgs,2021,43,change,n,8/18/2021,JPG,0.337750279,230,18,8,5,8/6/2021,8/7/2021
1866,f,sgs,2021,42,change,n,8/18/2021,JPG,0.332915546,230,18,8,30,8/6/2021,8/7/2021
1867,f,sgs,2021,45,change,n,8/30/2021,JPG,0.335571017,242,30,8,0,8/6/2021,8/7/2021
1871,f,sgs,2021,44,change,n,8/4/2021,JPG,0.340410058,216,4,8,10,8/6/2021,8/7/2021
1873,f,sgs,2021,43,change,n,7/30/2021,JPG,0.341805197,211,30,7,5,8/6/2021,8/7/2021
1874,f,sgs,2021,45,change,n,8/4/2021,JPG,0.339499663,216,4,8,0,8/6/2021,8/7/2021
1875,f,sgs,2021,46,change,n,8/30/2021,JPG,0.336345425,242,30,8,7.5,8/6/2021,8/7/2021
1877,f,sgs,2021,47,change,n,7/30/2021,JPG,0.344085249,211,30,7,15,8/6/2021,8/7/2021
1879,f,sgs,2021,46,change,n,7/28/2021,JPG,0.340443245,209,28,7,7.5,8/6/2021,8/7/2021
1880,f,sgs,2021,42,change,n,8/30/2021,JPG,0.333451471,242,30,8,30,8/6/2021,8/7/2021
1882,f,sgs,2021,48,change,n,8/18/2021,JPG,0.335452155,230,18,8,2.5,8/6/2021,8/7/2021
1883,f,sgs,2021,47,change,n,7/28/2021,JPG,0.342257178,209,28,7,15,8/6/2021,8/7/2021
1884,f,sgs,2021,48,change,n,8/30/2021,JPG,0.334486663,242,30,8,2.5,8/6/2021,8/7/2021
1885,f,sgs,2021,48,change,n,8/4/2021,JPG,0.338206081,216,4,8,2.5,8/6/2021,8/7/2021
1891,f,sgs,2021,47,change,n,8/30/2021,JPG,0.335645262,242,30,8,15,8/6/2021,8/7/2021
316,b,sgs,2021,10,change,pp1,7/28/2021,JPG,0.337241524,209,28,7,2.5,7/27/2021,7/28/2021
317,b,sgs,2021,10,change,pp1,7/30/2021,JPG,0.337404382,211,30,7,2.5,7/27/2021,7/28/2021
318,b,sgs,2021,10,change,pp1,8/4/2021,JPG,0.337155768,216,4,8,2.5,7/27/2021,7/28/2021
320,b,sgs,2021,10,change,pp1,8/30/2021,JPG,0.331931044,242,30,8,2.5,7/27/2021,7/28/2021
321,b,sgs,2021,12,change,pp1,7/28/2021,JPG,0.354526752,209,28,7,20,7/27/2021,7/28/2021
323,b,sgs,2021,10,change,pp1,8/17/2021,JPG,0.333782366,229,17,8,2.5,7/27/2021,7/28/2021
324,b,sgs,2021,12,change,pp1,8/30/2021,JPG,0.338093778,242,30,8,20,7/27/2021,7/28/2021
325,b,sgs,2021,12,change,pp1,7/30/2021,JPG,0.356477996,211,30,7,20,7/27/2021,7/28/2021
326,b,sgs,2021,12,change,pp1,8/4/2021,JPG,0.36042152,216,4,8,20,7/27/2021,7/28/2021
327,b,sgs,2021,12,change,pp1,8/17/2021,JPG,0.347856825,229,17,8,20,7/27/2021,7/28/2021
329,b,sgs,2021,11,change,pp1,8/17/2021,JPG,0.339453619,229,17,8,7.5,7/27/2021,7/28/2021
330,b,sgs,2021,11,change,pp1,8/30/2021,JPG,0.337467334,242,30,8,7.5,7/27/2021,7/28/2021
335,b,sgs,2021,14,change,pp1,8/30/2021,JPG,0.336809733,242,30,8,30,7/27/2021,7/28/2021
338,b,sgs,2021,15,change,pp1,7/30/2021,JPG,0.353078977,211,30,7,10,7/27/2021,7/28/2021
341,b,sgs,2021,15,change,pp1,7/28/2021,JPG,0.347808181,209,28,7,10,7/27/2021,7/28/2021
344,b,sgs,2021,14,change,pp1,7/28/2021,JPG,0.340344339,209,28,7,30,7/27/2021,7/28/2021
347,b,sgs,2021,13,change,pp1,7/28/2021,JPG,0.342421836,209,28,7,5,7/27/2021,7/28/2021
348,b,sgs,2021,13,change,pp1,7/30/2021,JPG,0.345526196,211,30,7,5,7/27/2021,7/28/2021
349,b,sgs,2021,13,change,pp1,8/4/2021,JPG,0.344286673,216,4,8,5,7/27/2021,7/28/2021
350,b,sgs,2021,13,change,pp1,8/17/2021,JPG,0.338157771,229,17,8,5,7/27/2021,7/28/2021
351,b,sgs,2021,13,change,pp1,8/30/2021,JPG,0.339073718,242,30,8,5,7/27/2021,7/28/2021
353,b,sgs,2021,11,change,pp1,7/28/2021,JPG,0.344349656,209,28,7,7.5,7/27/2021,7/28/2021
354,b,sgs,2021,11,change,pp1,7/30/2021,JPG,0.34606498,211,30,7,7.5,7/27/2021,7/28/2021
355,b,sgs,2021,11,change,pp1,8/4/2021,JPG,0.348418097,216,4,8,7.5,7/27/2021,7/28/2021
357,b,sgs,2021,16,change,pp1,8/30/2021,JPG,0.338015683,242,30,8,15,7/27/2021,7/28/2021
358,b,sgs,2021,15,change,pp1,8/17/2021,JPG,0.345313126,229,17,8,10,7/27/2021,7/28/2021
368,b,sgs,2021,14,change,pp1,8/17/2021,JPG,0.337333582,229,17,8,30,7/27/2021,7/28/2021
369,b,sgs,2021,16,change,pp1,8/17/2021,JPG,0.342903061,229,17,8,15,7/27/2021,7/28/2021
371,b,sgs,2021,15,change,pp1,8/4/2021,JPG,0.353732818,216,4,8,10,7/27/2021,7/28/2021
373,b,sgs,2021,15,change,pp1,8/30/2021,JPG,0.345118036,242,30,8,10,7/27/2021,7/28/2021
376,b,sgs,2021,16,change,pp1,7/30/2021,JPG,0.359982226,211,30,7,15,7/27/2021,7/28/2021
377,b,sgs,2021,14,change,pp1,8/4/2021,JPG,0.342432125,216,4,8,30,7/27/2021,7/28/2021
378,b,sgs,2021,16,change,pp1,7/28/2021,JPG,0.35499855,209,28,7,15,7/27/2021,7/28/2021
379,b,sgs,2021,16,change,pp1,8/4/2021,JPG,0.361794431,216,4,8,15,7/27/2021,7/28/2021
380,b,sgs,2021,14,change,pp1,7/30/2021,JPG,0.341881402,211,30,7,30,7/27/2021,7/28/2021
670,c,sgs,2021,17,change,pp1,7/30/2021,JPG,0.343666929,211,30,7,5,8/4/2021,8/5/2021
673,c,sgs,2021,17,change,pp1,7/28/2021,JPG,0.342673509,209,28,7,5,8/4/2021,8/5/2021
674,c,sgs,2021,17,change,pp1,8/17/2021,JPG,0.340385903,229,17,8,5,8/4/2021,8/5/2021
680,c,sgs,2021,17,change,pp1,8/4/2021,JPG,0.34338258,216,4,8,5,8/4/2021,8/5/2021
682,c,sgs,2021,17,change,pp1,8/30/2021,JPG,0.339208877,242,30,8,5,8/4/2021,8/5/2021
683,c,sgs,2021,24,change,pp1,7/30/2021,JPG,0.35823201,211,30,7,15,8/4/2021,8/5/2021
684,c,sgs,2021,24,change,pp1,8/4/2021,JPG,0.351101205,216,4,8,15,8/4/2021,8/5/2021
685,c,sgs,2021,24,change,pp1,8/17/2021,JPG,0.346945025,229,17,8,15,8/4/2021,8/5/2021
686,c,sgs,2021,24,change,pp1,8/30/2021,JPG,0.34307611,242,30,8,15,8/4/2021,8/5/2021
687,c,sgs,2021,19,change,pp1,8/4/2021,JPG,0.346463201,216,4,8,10,8/4/2021,8/5/2021
688,c,sgs,2021,19,change,pp1,8/17/2021,JPG,0.342105623,229,17,8,10,8/4/2021,8/5/2021
690,c,sgs,2021,18,change,pp1,7/28/2021,JPG,0.339586038,209,28,7,20,8/4/2021,8/5/2021
692,c,sgs,2021,23,change,pp1,8/17/2021,JPG,0.339906522,229,17,8,7.5,8/4/2021,8/5/2021
